Region,Broadband Type,Number
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Capital Region,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Central New York,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Finger Lakes Region,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Long Island,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mid-Hudson Region,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
Mohawk Valley,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
New York City,Cable,1
